feature,gain,split
Gold_x_lag3,1380.3471946716309,21
Gold_x_lag15,580.4066009521484,9
Gold_x_lag4,561.5791091918945,11
Gold_x_lag16,409.3825788497925,11
avg_dcc_avg5_lag20,352.0753059387207,15
avg_dcc_avg5_lag19,352.06790351867676,15
Gold_y_lag1,348.05952739715576,19
Gold_x_lag17,281.6324996948242,7
avg_dcc_avg22_lag17,254.33369636535645,7
avg_dcc_avg22_lag20,207.0073003768921,9
Gold_x_lag7,204.97179985046387,7
Gold_x_lag5,201.8689956665039,3
avg_dcc_avg22_lag9,178.63838863372803,8
Total_Spillover_avg5_lag6,168.45940017700195,10
S&P_500_x_lag11,167.69529819488525,8
Crude_Oil_x_lag12,166.71014022827148,9
Gold_x_lag6,165.98196840286255,6
Wheat_x_lag15,153.81020069122314,5
Wheat_x_lag16,153.39943981170654,9
Wheat_y_lag1,147.08817863464355,9
Crude_Oil_x_lag10,146.48254108428955,6
Gold_x_lag12,140.25329971313477,5
Gold_y_lag2,135.54650115966797,7
Crude_Oil_x_lag11,133.37693119049072,4
Total_Spillover_z20_lag14,129.2017002105713,6
avg_dcc_avg22_lag16,127.58290004730225,8
avg_dcc_avg22_lag13,125.64350128173828,4
IEF_y_lag14,120.86130046844482,8
Total_Spillover_z20_lag20,117.10280990600586,9
Wheat_y_lag19,116.4990119934082,5
S&P_500_x_lag12,114.70489883422852,3
Gold_x_lag19,113.83149909973145,5
Wheat_y_lag16,110.40428018569946,5
Gold_x_lag1,106.63080024719238,6
avg_dcc_avg22_lag10,105.5825023651123,3
Crude_Oil_x_lag14,103.03909969329834,6
avg_dcc_z20_lag20,102.3110294342041,7
avg_dcc_avg22_lag8,101.09936237335205,4
Total_Spillover_avg5_lag5,100.48190021514893,5
Wheat_y_lag15,97.54683876037598,4
Crude_Oil_y_lag13,96.57969951629639,5
Wheat_y_lag7,94.80726146697998,8
IEF_y_lag6,92.03150177001953,5
avg_dcc_z20_lag8,90.72788047790527,9
Total_Spillover_z20_lag11,81.95489883422852,6
Total_Spillover_z20_lag7,80.6288390159607,6
avg_dcc_avg22_lag18,80.43520879745483,4
Crude_Oil_y_lag4,80.21530151367188,3
avg_dcc_lag2,76.71188068389893,5
PBW_x_lag6,74.91107082366943,7
PBW_x_lag20,74.66497993469238,4
PBW_x_lag15,72.64874267578125,4
Total_Spillover_z20_lag3,72.59313869476318,6
PBW_x_lag11,68.04814052581787,6
avg_dcc_avg5_lag15,66.86061000823975,6
S&P_500_y_lag10,66.82934999465942,6
avg_dcc_avg22_lag5,66.54740142822266,3
Natural_Gas_x_lag12,65.15487003326416,5
avg_dcc_avg22_lag11,63.870938777923584,6
IEF_y_lag5,63.22410202026367,3
Wheat_x_lag19,63.123600006103516,3
Wheat_y_lag18,62.243210792541504,5
S&P_500_x_lag8,61.15440082550049,4
IEF_y_lag18,57.736220359802246,5
Wheat_y_lag8,56.26388120651245,3
IEF_x_lag7,55.157599449157715,4
Total_Spillover_z20_lag4,55.123199462890625,3
Natural_Gas_x_lag9,54.93065023422241,5
Crude_Oil_x_lag4,53.97630023956299,5
avg_dcc_avg22_lag15,53.90260124206543,2
Natural_Gas_y_lag16,53.10519981384277,2
Gold_y_lag14,51.8060188293457,5
Natural_Gas_y_lag10,51.5679988861084,3
Gold_y_lag17,50.9370002746582,3
Gold_y_lag15,49.958499908447266,3
Wheat_x_lag1,49.39330005645752,4
Total_Spillover_z20_lag12,48.91989994049072,3
Crude_Oil_x_lag7,48.06379985809326,3
Natural_Gas_x_lag13,47.03816032409668,5
Natural_Gas_y_lag1,44.39039993286133,3
Total_Spillover_avg5_lag20,42.26700019836426,3
Natural_Gas_x_lag2,41.629600524902344,3
avg_dcc_z20_lag9,40.52379894256592,4
PBW_x_lag13,40.34049987792969,2
Wheat_y_lag9,39.886199951171875,1
Crude_Oil_y_lag6,39.847800731658936,4
Natural_Gas_y_lag8,39.2431001663208,3
Natural_Gas_x_lag19,39.217299461364746,3
PBW_x_lag12,39.08375072479248,4
Total_Spillover_z20_lag13,37.93089008331299,4
S&P_500_y_lag4,36.54020118713379,2
Wheat_y_lag14,36.4670991897583,2
Gold_x_lag11,36.35930061340332,2
avg_dcc_avg5_lag14,35.937049865722656,4
avg_dcc_lag1,35.432119369506836,4
Total_Spillover_avg5_lag7,35.2023606300354,3
Gold_x_lag9,35.158899784088135,2
Wheat_y_lag12,34.92957901954651,3
IEF_y_lag2,34.92914962768555,3
Total_Spillover_avg22_lag19,34.79768991470337,4
PBW_x_lag19,34.41068983078003,4
Crude_Oil_x_lag8,34.05159950256348,2
Crude_Oil_x_lag5,33.52259922027588,2
avg_dcc_avg5_lag9,33.40733051300049,3
Total_Spillover_avg5_lag3,33.163400650024414,2
Total_Spillover_z20_lag2,32.97126007080078,4
PBW_y_lag7,32.88790035247803,2
Natural_Gas_y_lag20,32.690900802612305,2
IEF_y_lag15,32.664069175720215,3
avg_dcc_avg22_lag7,32.46489906311035,2
avg_dcc_avg5_lag3,32.29369926452637,2
PBW_x_lag7,32.24483060836792,2
IEF_y_lag4,30.97410011291504,2
Total_Spillover_avg5_lag2,30.85260009765625,2
PBW_y_lag15,30.301599502563477,2
Total_Spillover_avg5_lag18,29.282700538635254,2
PBW_y_lag4,29.087910652160645,2
Wheat_x_lag5,28.995800018310547,2
S&P_500_x_lag19,28.863910675048828,3
avg_dcc_avg5_lag13,28.673999786376953,1
PBW_x_lag17,27.840499877929688,1
S&P_500_y_lag5,27.46509075164795,2
Total_Spillover_z20_lag6,26.470539093017578,2
IEF_y_lag1,26.315670013427734,3
S&P_500_x_lag16,25.544819831848145,2
avg_dcc_z20_lag11,25.50063991546631,3
IEF_x_lag6,25.405210494995117,3
S&P_500_x_lag20,25.038010120391846,3
Total_Spillover_avg5_lag14,24.750499725341797,2
Crude_Oil_y_lag17,24.65089988708496,2
Crude_Oil_y_lag7,24.500600814819336,1
IEF_x_lag1,24.166000366210938,2
avg_dcc_z20_lag1,24.162400245666504,2
Total_Spillover_z20_lag10,23.897809982299805,3
avg_dcc_z20_lag4,23.71269989013672,2
S&P_500_x_lag5,23.607500076293945,1
Crude_Oil_x_lag17,23.565099716186523,2
S&P_500_x_lag15,23.53559970855713,2
Crude_Oil_x_lag20,23.499300003051758,2
Total_Spillover_avg22_lag20,23.191569805145264,3
IEF_x_lag2,23.149189949035645,2
IEF_y_lag7,23.083499908447266,2
Crude_Oil_x_lag15,22.622499465942383,1
PBW_y_lag17,22.612499237060547,1
Total_Spillover_z20_lag19,22.45913028717041,2
Wheat_x_lag6,22.446699142456055,1
Total_Spillover_z20_lag8,22.400500297546387,2
avg_dcc_avg22_lag14,22.185400009155273,1
IEF_x_lag4,21.789090633392334,3
Gold_y_lag6,21.742459774017334,3
avg_dcc_avg22_lag12,21.33677053451538,2
avg_dcc_lag16,21.243600845336914,1
PBW_x_lag5,21.203899383544922,1
IEF_x_lag18,21.024499893188477,1
Wheat_x_lag18,20.92136001586914,2
Natural_Gas_y_lag18,20.790800094604492,1
Gold_y_lag4,20.775290489196777,2
Total_Spillover_avg5_lag8,20.716300010681152,2
S&P_500_x_lag1,20.41968059539795,2
avg_dcc_avg22_lag4,20.02750015258789,1
PBW_y_lag1,19.80161952972412,2
Total_Spillover_avg5_lag11,19.482489585876465,2
Gold_y_lag16,19.227500915527344,1
S&P_500_y_lag13,18.878989696502686,2
Wheat_y_lag6,18.5548095703125,2
PBW_x_lag2,18.51810073852539,1
Crude_Oil_x_lag2,18.50885009765625,2
Wheat_y_lag17,18.3700008392334,1
Natural_Gas_x_lag4,18.239599227905273,1
Wheat_x_lag13,17.628329277038574,2
PBW_x_lag16,17.60744047164917,2
avg_dcc_z20_lag3,17.255730152130127,2
avg_dcc_avg5_lag2,17.23687982559204,2
avg_dcc_avg5_lag7,17.16752052307129,2
S&P_500_y_lag20,16.814040184020996,3
PBW_x_lag14,16.450000762939453,1
Natural_Gas_x_lag8,16.02429962158203,1
Gold_x_lag10,16.001699447631836,1
PBW_y_lag10,15.880599975585938,1
IEF_x_lag9,15.700900077819824,1
Crude_Oil_y_lag16,15.621399879455566,1
Wheat_y_lag20,15.54520034790039,1
Crude_Oil_y_lag1,15.388899803161621,1
avg_dcc_avg5_lag1,15.193480014801025,2
Natural_Gas_x_lag3,14.93179988861084,1
Crude_Oil_y_lag10,14.607399940490723,1
Total_Spillover_avg5_lag19,14.409899711608887,1
S&P_500_y_lag3,14.31309986114502,1
avg_dcc_z20_lag7,14.266300201416016,1
avg_dcc_avg5_lag4,14.020299911499023,1
S&P_500_x_lag6,13.76623010635376,2
Gold_x_lag2,13.759400367736816,1
S&P_500_y_lag18,13.662199974060059,1
Crude_Oil_y_lag15,13.511300086975098,1
avg_dcc_z20_lag13,13.23169994354248,1
IEF_x_lag17,13.162799835205078,1
Total_Spillover_z20_lag5,12.999029636383057,2
Gold_y_lag19,12.593500137329102,1
avg_dcc_lag19,12.447799682617188,1
avg_dcc_chg1_lag17,12.38539981842041,1
avg_dcc_lag20,12.200699806213379,1
Natural_Gas_y_lag5,12.061400413513184,1
Gold_x_lag13,11.773300170898438,1
S&P_500_y_lag17,11.550200462341309,1
PBW_y_lag5,11.534799575805664,1
Crude_Oil_y_lag12,11.161199569702148,1
avg_dcc_lag15,11.133399963378906,1
S&P_500_x_lag9,11.100799560546875,1
IEF_y_lag16,10.926899909973145,1
Total_Spillover_chg1_lag14,10.784199714660645,1
Total_Spillover_avg22_lag4,10.643449783325195,2
S&P_500_y_lag19,10.577300071716309,1
Wheat_x_lag12,10.536999702453613,1
Gold_y_lag3,10.353699684143066,1
avg_dcc_z20_lag15,10.040900230407715,1
Gold_y_lag12,9.882749557495117,1
