Date,Regime_Label
2006-03-13,Low
2006-03-20,Med
2006-03-27,High
2006-04-03,Low
2006-04-10,Med
2006-04-18,High
2006-04-25,Low
2006-05-02,Med
2006-05-09,High
2006-05-16,Low
2006-05-23,Med
2006-05-31,High
2006-06-07,Low
2006-06-14,Med
2006-06-21,High
2006-06-28,Low
2006-07-10,Med
2006-07-17,High
2006-07-24,Low
2006-07-31,Med
2006-08-07,High
2006-08-14,Low
2006-08-21,Med
2006-08-28,High
2006-09-05,Low
2006-09-12,Med
2006-09-19,High
2006-09-26,Low
2006-10-03,Med
2006-10-10,High
2006-10-17,Low
2006-10-24,Med
2006-10-31,High
2006-11-07,Low
2006-11-14,Med
2006-11-21,High
2006-12-04,Low
2006-12-11,Med
2006-12-18,High
2006-12-26,Low
2007-01-04,Med
2007-01-11,High
2007-01-19,Low
2007-01-26,Med
2007-02-02,High
2007-02-09,Low
2007-02-16,Med
2007-02-26,High
2007-03-05,High
2007-03-12,Med
2007-03-19,Low
2007-03-26,Low
2007-04-02,Med
2007-04-10,High
2007-04-17,Low
2007-04-24,Med
2007-05-01,High
2007-05-08,Low
2007-05-15,Med
2007-05-22,High
2007-05-30,Low
2007-06-06,Med
2007-06-13,High
2007-06-20,Low
2007-06-27,Med
2007-07-05,High
2007-07-12,Low
2007-07-19,Med
2007-07-26,High
2007-08-02,Low
2007-08-09,Med
2007-08-16,High
2007-08-23,Low
2007-08-30,Med
2007-09-07,High
2007-09-14,Low
2007-09-21,Med
2007-09-28,High
2007-10-05,Low
2007-10-12,Med
2007-10-19,High
2007-10-26,Low
2007-11-02,Med
2007-11-09,High
2007-11-16,Low
2007-11-26,Med
2007-12-03,High
2007-12-10,Low
2007-12-17,Med
2007-12-24,High
2008-01-02,Low
2008-01-09,Med
2008-01-16,High
2008-01-24,Low
2008-01-31,Med
2008-02-07,High
2008-02-14,Low
2008-02-22,Med
2008-02-29,High
2008-03-07,Low
2008-03-14,Med
2008-03-24,High
2008-03-31,Low
2008-04-07,Med
2008-04-14,High
2008-04-21,Low
2008-04-28,Med
2008-05-05,High
2008-05-12,Low
2008-05-19,Med
2008-05-27,High
2008-06-03,Low
2008-06-10,Med
2008-06-17,High
2008-06-24,Low
2008-07-01,Med
2008-07-09,High
2008-07-16,Low
2008-07-23,Med
2008-07-30,High
2008-08-06,Low
2008-08-13,Med
2008-08-20,High
2008-08-27,Low
2008-09-04,Med
2008-09-11,High
2008-09-18,Low
2008-09-25,Med
2008-10-02,High
2008-10-09,Low
2008-10-16,Med
2008-10-23,High
2008-10-30,Low
2008-11-06,Med
2008-11-13,High
2008-11-20,Low
2008-11-28,Med
2008-12-05,High
2008-12-12,Low
2008-12-19,Low
2008-12-29,High
2009-01-06,Low
2009-01-13,Low
2009-01-21,High
2009-01-28,Low
2009-02-04,Low
2009-02-11,High
2009-02-19,Low
2009-02-26,Low
2009-03-05,High
2009-03-12,Low
2009-03-19,Low
2009-03-26,High
2009-04-02,Low
2009-04-09,Low
2009-04-17,High
2009-04-24,Low
2009-05-01,Low
2009-05-08,High
2009-05-15,Low
2009-05-22,Low
2009-06-01,High
2009-06-08,Low
2009-06-15,Low
2009-06-22,High
2009-06-29,Low
2009-07-07,Low
2009-07-14,High
2009-07-21,Low
2009-07-28,Low
2009-08-04,Med
2009-08-11,High
2009-08-18,Low
2009-08-25,Med
2009-09-01,High
2009-09-09,Low
2009-09-16,Med
2009-09-23,Low
2009-09-30,Low
2009-10-07,Med
2009-10-14,Low
2009-10-21,Low
2009-10-28,Med
2009-11-04,Low
2009-11-11,Low
2009-11-18,Med
2009-11-25,Low
2009-12-03,Low
2009-12-10,Med
2009-12-17,Low
2009-12-24,Low
2010-01-04,Med
2010-01-11,Low
2010-01-19,Low
2010-01-26,Med
2010-02-02,Low
2010-02-09,Low
2010-02-17,Med
2010-02-24,Low
2010-03-03,Low
2010-03-10,Med
2010-03-17,Low
2010-03-24,Low
2010-03-31,Med
2010-04-08,Low
2010-04-15,Low
2010-04-22,Med
2010-04-29,Low
2010-05-06,Low
2010-05-13,Med
2010-05-20,Low
2010-05-27,Low
2010-06-04,Med
2010-06-11,Low
2010-06-18,Low
2010-06-25,Med
2010-07-02,Low
2010-07-12,Low
2010-07-19,Med
2010-07-26,Low
2010-08-02,Low
2010-08-09,Med
2010-08-16,Low
2010-08-23,Low
2010-08-30,Med
2010-09-07,Low
2010-09-14,Low
2010-09-21,Med
2010-09-28,Low
2010-10-05,Low
2010-10-12,Med
2010-10-19,Low
2010-10-26,Low
2010-11-02,Med
2010-11-09,Low
2010-11-16,Low
2010-11-23,Med
2010-12-01,Low
2010-12-08,Low
2010-12-15,Med
2010-12-22,Low
2010-12-30,Low
2011-01-06,Med
2011-01-13,Low
2011-01-21,Low
2011-01-28,Med
2011-02-04,Low
2011-02-11,Low
2011-02-18,Med
2011-02-28,Low
2011-03-07,Low
2011-03-14,Med
2011-03-21,Low
2011-03-28,Low
2011-04-04,Med
2011-04-11,Low
2011-04-18,Low
2011-04-26,Med
2011-05-03,Low
2011-05-10,Low
2011-05-17,Med
2011-05-24,Low
2011-06-01,Low
2011-06-08,Med
2011-06-15,Low
2011-06-22,Low
2011-06-29,Med
2011-07-07,Low
2011-07-14,Low
2011-07-21,Med
2011-07-28,Low
2011-08-04,Low
2011-08-11,Med
2011-08-18,Low
2011-08-25,Low
2011-09-01,Med
2011-09-09,High
2011-09-16,High
2011-09-23,Med
2011-09-30,High
2011-10-07,High
2011-10-14,Med
2011-10-21,High
2011-10-28,High
2011-11-04,Med
2011-11-11,High
2011-11-18,High
2011-11-28,Med
2011-12-05,High
2011-12-12,High
2011-12-19,Med
2011-12-27,High
2012-01-04,High
2012-01-11,Med
2012-01-19,High
2012-01-26,High
2012-02-02,Med
2012-02-09,High
2012-02-16,High
2012-02-24,Med
2012-03-02,High
2012-03-09,High
2012-03-16,Med
2012-03-23,High
2012-03-30,High
2012-04-09,Med
2012-04-16,High
2012-04-23,High
2012-04-30,Med
2012-05-07,High
2012-05-14,High
2012-05-21,Med
2012-05-29,High
2012-06-05,High
2012-06-12,Med
2012-06-19,High
2012-06-26,High
2012-07-03,Med
2012-07-11,High
2012-07-18,High
2012-07-25,Med
2012-08-01,High
2012-08-08,High
2012-08-15,Med
2012-08-22,High
2012-08-29,High
2012-09-06,Low
2012-09-13,High
2012-09-20,High
2012-09-27,Low
2012-10-04,High
2012-10-11,High
2012-10-18,Low
2012-10-25,High
2012-11-05,High
2012-11-12,Low
2012-11-19,High
2012-11-27,High
2012-12-04,Low
2012-12-11,High
2012-12-18,High
2012-12-26,Low
2013-01-03,High
2013-01-10,High
2013-01-17,Low
2013-01-25,High
2013-02-01,High
2013-02-08,Low
2013-02-15,High
2013-02-25,High
2013-03-04,Low
2013-03-11,Med
2013-03-18,High
2013-03-25,Low
2013-04-02,Med
