Date,P(High),P(Med),P(Low)
2006-03-13,0.00000000,0.00000000,0.00000243
2006-03-20,0.00000000,1.00000000,0.00000000
2006-03-27,1.00000000,0.00000000,0.99999757
2006-04-03,0.00000000,0.00000000,0.00000320
2006-04-10,0.00000000,1.00000000,0.00000000
2006-04-18,1.00000000,0.00000000,0.99999680
2006-04-25,0.00000000,0.00000000,0.00000075
2006-05-02,0.00000000,1.00000000,0.00000000
2006-05-09,1.00000000,0.00000000,0.99999925
2006-05-16,0.00000000,0.00000000,0.00000067
2006-05-23,0.00000000,1.00000000,0.00000000
2006-05-31,1.00000000,0.00000000,0.99999933
2006-06-07,0.00000000,0.00000000,0.00000086
2006-06-14,0.00000000,1.00000000,0.00000000
2006-06-21,1.00000000,0.00000000,0.99999914
2006-06-28,0.00000000,0.00000000,0.00000111
2006-07-10,0.00000000,1.00000000,0.00000000
2006-07-17,1.00000000,0.00000000,0.99999889
2006-07-24,0.00000000,0.00000000,0.00000077
2006-07-31,0.00000000,1.00000000,0.00000000
2006-08-07,1.00000000,0.00000000,0.99999923
2006-08-14,0.00000000,0.00000000,0.00000112
2006-08-21,0.00000000,1.00000000,0.00000000
2006-08-28,1.00000000,0.00000000,0.99999888
2006-09-05,0.00000000,0.00000000,0.00000112
2006-09-12,0.00000000,1.00000000,0.00000000
2006-09-19,1.00000000,0.00000000,0.99999888
2006-09-26,0.00000000,0.00000000,0.00000037
2006-10-03,0.00000000,1.00000000,0.00000000
2006-10-10,1.00000000,0.00000000,0.99999963
2006-10-17,0.00000000,0.00000000,0.00000023
2006-10-24,0.00000000,1.00000000,0.00000000
2006-10-31,1.00000000,0.00000000,0.99999977
2006-11-07,0.00000000,0.00000000,0.00000021
2006-11-14,0.00000000,1.00000000,0.00000000
2006-11-21,1.00000000,0.00000000,0.99999979
2006-12-04,0.00000000,0.00000000,0.00000034
2006-12-11,0.00000000,1.00000000,0.00000000
2006-12-18,1.00000000,0.00000000,0.99999966
2006-12-26,0.00000000,0.00000000,0.00000058
2007-01-04,0.00000000,1.00000000,0.00000000
2007-01-11,1.00000000,0.00000000,0.99999942
2007-01-19,0.00000004,0.00000000,0.00000039
2007-01-26,0.00000000,1.00000000,0.00000000
2007-02-02,0.99999996,0.00000000,0.99999961
2007-02-09,0.00000003,0.00000000,0.00000055
2007-02-16,0.00000000,1.00000000,0.00000000
2007-02-26,0.99999997,0.00000000,0.99999945
2007-03-05,0.00000048,0.00000000,0.00000044
2007-03-12,0.00000000,1.00000000,0.00000000
2007-03-19,0.99999952,0.00000000,0.99999956
2007-03-26,0.00000085,0.00000001,0.00000892
2007-04-02,0.00000000,0.99999999,0.00000000
2007-04-10,0.99999915,0.00000000,0.99999108
2007-04-17,0.00000216,0.00000007,0.00032468
2007-04-24,0.00000000,0.99999993,0.00000000
2007-05-01,0.99999784,0.00000000,0.99967532
2007-05-08,0.00000119,0.00000004,0.00113481
2007-05-15,0.00000000,0.99999996,0.00000000
2007-05-22,0.99999881,0.00000000,0.99886519
2007-05-30,0.00000107,0.00000001,0.00370290
2007-06-06,0.00000000,0.99999999,0.00000000
2007-06-13,0.99999893,0.00000000,0.99629710
2007-06-20,0.00000107,0.00000000,0.00986617
2007-06-27,0.00000000,1.00000000,0.00000000
2007-07-05,0.99999893,0.00000000,0.99013383
2007-07-12,0.00000057,0.00000000,0.02260281
2007-07-19,0.00000000,1.00000000,0.00000000
2007-07-26,0.99999943,0.00000000,0.97739719
2007-08-02,0.00000166,0.00000000,0.06130794
2007-08-09,0.00000000,1.00000000,0.00000000
2007-08-16,0.99999834,0.00000000,0.93869206
2007-08-23,0.00000115,0.00000000,0.16554663
2007-08-30,0.00000000,1.00000000,0.00000000
2007-09-07,0.99999885,0.00000000,0.83445337
2007-09-14,0.00000321,0.00000000,0.34370392
2007-09-21,0.00000000,1.00000000,0.00000000
2007-09-28,0.99999679,0.00000000,0.65629608
2007-10-05,0.00000509,0.00000000,0.55157780
2007-10-12,0.00000000,1.00000000,0.00000000
