Date,P(High),P(Med),P(Low)
2006-03-13,0.000000,0.000000,0.000002
2006-03-20,0.000000,0.045158,0.000002
2006-03-27,0.045158,0.043119,0.045161
2006-04-03,0.043119,0.041172,0.043121
2006-04-10,0.041172,0.084471,0.041174
2006-04-18,0.084471,0.080656,0.084473
2006-04-25,0.080656,0.077014,0.080658
2006-05-02,0.077014,0.118695,0.077016
2006-05-09,0.118695,0.113335,0.118696
2006-05-16,0.113335,0.108217,0.113336
2006-05-23,0.108217,0.148488,0.108218
2006-05-31,0.148488,0.141783,0.148490
2006-06-07,0.141783,0.135380,0.141784
2006-06-14,0.135380,0.174425,0.135381
2006-06-21,0.174425,0.166548,0.174426
2006-06-28,0.166548,0.159027,0.166549
2006-07-10,0.159027,0.197004,0.159028
2006-07-17,0.197004,0.188108,0.197005
2006-07-24,0.188108,0.179613,0.188109
2006-07-31,0.179613,0.216660,0.179614
2006-08-07,0.216660,0.206876,0.216661
2006-08-14,0.206876,0.197534,0.206877
2006-08-21,0.197534,0.233772,0.197535
2006-08-28,0.233772,0.223215,0.233773
2006-09-05,0.223215,0.213135,0.223216
2006-09-12,0.213135,0.248669,0.213136
2006-09-19,0.248669,0.237439,0.248670
2006-09-26,0.237439,0.226717,0.237440
2006-10-03,0.226717,0.261637,0.226718
2006-10-10,0.261637,0.249822,0.261638
2006-10-17,0.249822,0.238541,0.249823
2006-10-24,0.238541,0.272927,0.238541
2006-10-31,0.272927,0.260602,0.272927
2006-11-07,0.260602,0.248834,0.260602
2006-11-14,0.248834,0.282755,0.248834
2006-11-21,0.282755,0.269986,0.282755
2006-12-04,0.269986,0.257794,0.269987
2006-12-11,0.257794,0.291311,0.257795
2006-12-18,0.291311,0.278156,0.291311
2006-12-26,0.278156,0.265595,0.278156
2007-01-04,0.265595,0.298759,0.265595
2007-01-11,0.298759,0.285268,0.298760
2007-01-19,0.285268,0.272386,0.285268
2007-01-26,0.272386,0.305243,0.272386
2007-02-02,0.305243,0.291459,0.305244
2007-02-09,0.291459,0.278297,0.291459
2007-02-16,0.278297,0.310888,0.278298
2007-02-26,0.310888,0.296849,0.310889
2007-03-05,0.296849,0.283444,0.296849
2007-03-12,0.283444,0.315802,0.283444
2007-03-19,0.315802,0.301541,0.315803
2007-03-26,0.301541,0.287924,0.301542
2007-04-02,0.287924,0.320080,0.287925
2007-04-10,0.320080,0.305626,0.320080
2007-04-17,0.305626,0.291824,0.305641
2007-04-24,0.291825,0.323804,0.291839
2007-05-01,0.323804,0.309182,0.323803
2007-05-08,0.309182,0.295220,0.309232
2007-05-15,0.295220,0.327047,0.295268
2007-05-22,0.327047,0.312278,0.327041
2007-05-30,0.312278,0.298176,0.312440
2007-06-06,0.298176,0.329869,0.298330
2007-06-13,0.329869,0.314973,0.329849
2007-06-20,0.314973,0.300749,0.315399
2007-06-27,0.300749,0.332326,0.301157
2007-07-05,0.332326,0.317319,0.332270
2007-07-12,0.317319,0.302989,0.318286
2007-07-19,0.302989,0.334465,0.303912
2007-07-26,0.334465,0.319361,0.334326
2007-08-02,0.319361,0.304939,0.321997
2007-08-09,0.304939,0.336327,0.307456
2007-08-16,0.336327,0.321139,0.335962
2007-08-23,0.321139,0.306637,0.328266
