Date,P(Low),P(Med),P(High)
2006-03-13,1.00000000,0.00000000,0.00000000
2006-03-14,0.99999986,0.00000014,0.00000000
2006-03-15,0.99999980,0.00000020,0.00000000
2006-03-16,0.99999983,0.00000017,0.00000000
2006-03-17,0.99999983,0.00000017,0.00000000
2006-03-20,0.99999983,0.00000017,0.00000000
2006-03-21,0.99999982,0.00000018,0.00000000
2006-03-22,0.99999983,0.00000017,0.00000000
2006-03-23,0.99999982,0.00000017,0.00000000
2006-03-24,0.99999986,0.00000014,0.00000000
2006-03-27,0.99999982,0.00000018,0.00000000
2006-03-28,0.99999987,0.00000013,0.00000000
2006-03-29,0.99999989,0.00000010,0.00000000
2006-03-30,0.99999987,0.00000013,0.00000000
2006-03-31,0.99999987,0.00000013,0.00000000
2006-04-03,0.99999986,0.00000014,0.00000000
2006-04-04,0.99999989,0.00000011,0.00000000
2006-04-05,0.99999990,0.00000010,0.00000000
2006-04-06,0.99999985,0.00000014,0.00000000
2006-04-07,0.99999987,0.00000012,0.00000000
2006-04-10,0.99999971,0.00000029,0.00000000
2006-04-11,0.99999962,0.00000038,0.00000000
2006-04-12,0.99999971,0.00000029,0.00000000
2006-04-13,0.99999972,0.00000028,0.00000000
2006-04-14,0.99999977,0.00000023,0.00000000
2006-04-17,0.99999979,0.00000020,0.00000000
2006-04-18,0.99999920,0.00000080,0.00000000
2006-04-19,0.99998039,0.00001961,0.00000000
2006-04-20,0.99997201,0.00002799,0.00000000
2006-04-21,0.99997257,0.00002743,0.00000000
2006-04-24,0.99998166,0.00001834,0.00000000
2006-04-25,0.99999179,0.00000821,0.00000000
2006-04-26,0.99999525,0.00000475,0.00000000
2006-04-27,0.99999741,0.00000259,0.00000000
2006-04-28,0.99999766,0.00000234,0.00000000
2006-05-01,0.99999872,0.00000128,0.00000000
2006-05-02,0.99999912,0.00000088,0.00000000
2006-05-03,0.99999876,0.00000124,0.00000000
2006-05-04,0.99999883,0.00000117,0.00000000
2006-05-05,0.99999929,0.00000071,0.00000000
2006-05-08,0.99999881,0.00000119,0.00000000
2006-05-09,0.99999913,0.00000087,0.00000000
2006-05-10,0.99999916,0.00000084,0.00000000
2006-05-11,0.99999914,0.00000086,0.00000000
2006-05-12,0.99999960,0.00000040,0.00000000
2006-05-15,0.99999905,0.00000095,0.00000000
2006-05-16,0.99999854,0.00000146,0.00000000
2006-05-17,0.99999832,0.00000168,0.00000000
2006-05-18,0.99999901,0.00000099,0.00000000
2006-05-19,0.99999928,0.00000072,0.00000000
2006-05-22,0.99999948,0.00000052,0.00000000
2006-05-23,0.99999959,0.00000041,0.00000000
2006-05-24,0.99999964,0.00000036,0.00000000
2006-05-25,0.99999917,0.00000083,0.00000000
2006-05-26,0.99999895,0.00000105,0.00000000
2006-05-29,0.99999896,0.00000104,0.00000000
2006-05-30,0.99999902,0.00000098,0.00000000
2006-05-31,0.99999948,0.00000052,0.00000000
2006-06-01,0.99999948,0.00000051,0.00000000
2006-06-02,0.99999970,0.00000030,0.00000000
2006-06-05,0.99999869,0.00000131,0.00000000
2006-06-06,0.99999745,0.00000255,0.00000000
2006-06-07,0.99998752,0.00001248,0.00000000
2006-06-08,0.99992237,0.00007763,0.00000000
2006-06-09,0.99959961,0.00040038,0.00000000
2006-06-12,0.99747477,0.00252519,0.00000004
2006-06-13,0.97402437,0.02597536,0.00000027
2006-06-14,0.78548282,0.21451707,0.00000012
2006-06-15,0.63321482,0.36678481,0.00000037
2006-06-16,0.30005765,0.69994224,0.00000011
2006-06-19,0.14418383,0.85581609,0.00000008
2006-06-20,0.04870926,0.95129068,0.00000006
2006-06-21,0.01303198,0.98696801,0.00000001
2006-06-22,0.00291642,0.99708358,0.00000000
2006-06-23,0.00119406,0.99880593,0.00000001
2006-06-26,0.00076273,0.99923724,0.00000002
2006-06-27,0.00059406,0.99940592,0.00000002
2006-06-28,0.00051541,0.99948453,0.00000006
2006-06-29,0.00034271,0.99965723,0.00000006
2006-06-30,0.00007185,0.99992813,0.00000002
2006-07-03,0.00002972,0.99997026,0.00000002
2006-07-04,0.00004307,0.99995690,0.00000002
2006-07-05,0.00017295,0.99982702,0.00000002
2006-07-10,0.00102189,0.99897806,0.00000006
2006-07-11,0.00641546,0.99358428,0.00000025
2006-07-12,0.02353617,0.97646300,0.00000083
2006-07-13,0.13931011,0.86068565,0.00000423
2006-07-14,0.46377109,0.53622335,0.00000556
2006-07-17,0.70391048,0.29608582,0.00000370
2006-07-18,0.81602479,0.18397452,0.00000069
2006-07-19,0.85156062,0.14843917,0.00000021
2006-07-20,0.86830475,0.13169514,0.00000010
2006-07-21,0.89877181,0.10122804,0.00000016
2006-07-24,0.93369429,0.06630557,0.00000014
2006-07-25,0.96982020,0.03017964,0.00000016
2006-07-26,0.98964004,0.01035988,0.00000009
2006-07-27,0.99738157,0.00261839,0.00000004
2006-07-28,0.99946389,0.00053609,0.00000001
2006-07-31,0.99984847,0.00015152,0.00000000
2006-08-01,0.99993301,0.00006699,0.00000000
2006-08-02,0.99996073,0.00003927,0.00000000
2006-08-03,0.99997471,0.00002529,0.00000000
2006-08-04,0.99997878,0.00002121,0.00000000
2006-08-07,0.99997897,0.00002103,0.00000000
2006-08-08,0.99999409,0.00000591,0.00000000
2006-08-09,0.99999705,0.00000295,0.00000000
2006-08-10,0.99999831,0.00000168,0.00000001
2006-08-11,0.99999838,0.00000161,0.00000001
2006-08-14,0.99999619,0.00000381,0.00000000
2006-08-15,0.99999759,0.00000240,0.00000001
2006-08-16,0.99999751,0.00000249,0.00000001
2006-08-17,0.99999861,0.00000139,0.00000001
2006-08-18,0.99999823,0.00000176,0.00000001
2006-08-21,0.99999793,0.00000207,0.00000001
2006-08-22,0.99999911,0.00000088,0.00000001
2006-08-23,0.99999925,0.00000073,0.00000001
2006-08-24,0.99999947,0.00000051,0.00000002
2006-08-25,0.99999944,0.00000054,0.00000002
2006-08-28,0.99999939,0.00000059,0.00000002
2006-08-29,0.99999954,0.00000044,0.00000002
2006-08-30,0.99999963,0.00000036,0.00000002
2006-08-31,0.99999965,0.00000033,0.00000002
2006-09-01,0.99999965,0.00000034,0.00000001
2006-09-04,0.99999962,0.00000037,0.00000001
2006-09-05,0.99999959,0.00000040,0.00000001
2006-09-06,0.99999974,0.00000024,0.00000002
2006-09-07,0.99999919,0.00000079,0.00000002
2006-09-08,0.99999932,0.00000066,0.00000002
2006-09-11,0.99999941,0.00000057,0.00000003
2006-09-12,0.99999895,0.00000103,0.00000002
2006-09-13,0.99999951,0.00000046,0.00000003
2006-09-14,0.99999952,0.00000046,0.00000003
2006-09-15,0.99999867,0.00000129,0.00000003
2006-09-18,0.99999858,0.00000139,0.00000003
2006-09-19,0.99999888,0.00000108,0.00000003
2006-09-20,0.99999933,0.00000065,0.00000002
2006-09-21,0.99999925,0.00000074,0.00000001
2006-09-22,0.99999973,0.00000025,0.00000003
2006-09-25,0.99999975,0.00000023,0.00000002
2006-09-26,0.99999978,0.00000019,0.00000002
2006-09-27,0.99999978,0.00000020,0.00000002
2006-09-28,0.99999800,0.00000199,0.00000001
2006-09-29,0.99990456,0.00009544,0.00000000
2006-10-02,0.99960733,0.00039267,0.00000000
2006-10-03,0.99895390,0.00104610,0.00000000
2006-10-04,0.99550461,0.00449539,0.00000000
2006-10-05,0.99216589,0.00783411,0.00000000
2006-10-06,0.99326212,0.00673788,0.00000000
