Segment,png,edges_csv,n_edges
1,trackC_network_segment1.png,trackC_network_segment1_edges.csv,12
2,trackC_network_segment2.png,trackC_network_segment2_edges.csv,12
3,trackC_network_segment3.png,trackC_network_segment3_edges.csv,12
4,trackC_network_segment4.png,trackC_network_segment4_edges.csv,12
5,trackC_network_segment5.png,trackC_network_segment5_edges.csv,12
6,trackC_network_segment6.png,trackC_network_segment6_edges.csv,12
7,trackC_network_segment7.png,trackC_network_segment7_edges.csv,12
8,trackC_network_segment8.png,trackC_network_segment8_edges.csv,12
9,trackC_network_segment9.png,trackC_network_segment9_edges.csv,12
10,trackC_network_segment10.png,trackC_network_segment10_edges.csv,12
