Segment,Start,End,Days,Lag_Used,Total_Spillover
1,2005-03-04,2007-11-26,675,,0.13420478962164317
2,2007-11-26,2008-08-06,176,,0.277794032286581
3,2008-08-06,2013-07-25,1251,,0.22113545461675851
4,2013-07-25,2016-02-24,651,,0.13445765628992287
5,2016-02-24,2017-06-12,326,,0.1628715329304562
6,2017-06-12,2019-08-21,551,,0.1487678520584788
7,2019-08-21,2021-02-19,376,,0.2804233825970107
8,2021-02-19,2022-07-12,351,,0.12221945603511385
9,2022-07-12,2024-01-08,376,,0.1490295758244893
10,2024-01-08,2025-06-27,369,,0.09933014760751988
