Segment,Start,End,Days,Avg_Total_Spillover,Median_Total_Spillover
1,2006-03-13,2007-11-26,86,21.812072766247603,22.07359894014086
2,2007-11-26,2008-08-06,36,30.219402223879612,30.90805368293873
3,2008-08-06,2013-07-25,251,37.370185119597316,37.73873853666043
4,2013-07-25,2016-02-24,131,21.614279512502893,21.508128982783205
5,2016-02-24,2017-06-12,66,28.180132404975307,28.5014726616087
6,2017-06-12,2019-08-21,111,22.07510088833636,21.835526100777184
7,2019-08-21,2021-02-19,76,28.961566670990056,28.939414744452122
8,2021-02-19,2022-07-12,71,16.572233911777605,16.79726861384188
9,2022-07-12,2024-01-08,76,24.585399700141178,25.263641792228523
10,2024-01-08,2025-06-24,74,16.634175034389308,16.610444480790463
