feature,mean_abs_shap,n_obs
S&P_500_x_lag1,0.00051817414,969
S&P_500_x_lag2,0.00061096455,969
S&P_500_x_lag3,0.0092323935,969
S&P_500_x_lag4,0.007926369,969
S&P_500_x_lag5,0.0006945511,969
S&P_500_x_lag6,0.0,969
S&P_500_x_lag7,0.0,969
S&P_500_x_lag8,0.0,969
S&P_500_x_lag9,0.00379135,969
S&P_500_x_lag10,0.0,969
S&P_500_x_lag11,0.0,969
S&P_500_x_lag12,0.0048701894,969
S&P_500_x_lag13,0.014050738,969
S&P_500_x_lag14,0.03361302,969
S&P_500_x_lag15,0.0038387526,969
S&P_500_x_lag16,0.0,969
S&P_500_x_lag17,0.0,969
S&P_500_x_lag18,0.0,969
S&P_500_x_lag19,0.0,969
S&P_500_x_lag20,0.0,969
S&P_500_y_lag1,0.0,969
S&P_500_y_lag2,0.00043867342,969
S&P_500_y_lag3,0.0,969
S&P_500_y_lag4,0.001270136,969
S&P_500_y_lag5,0.0017174344,969
S&P_500_y_lag6,0.0,969
S&P_500_y_lag7,0.0,969
S&P_500_y_lag8,0.0,969
S&P_500_y_lag9,0.00079561886,969
S&P_500_y_lag10,0.0,969
S&P_500_y_lag11,0.0010873816,969
S&P_500_y_lag12,0.0,969
S&P_500_y_lag13,0.0,969
S&P_500_y_lag14,0.0,969
S&P_500_y_lag15,0.0,969
S&P_500_y_lag16,0.0,969
S&P_500_y_lag17,0.0,969
S&P_500_y_lag18,0.0,969
S&P_500_y_lag19,0.0,969
S&P_500_y_lag20,0.0,969
IEF_x_lag1,0.002765687,969
IEF_x_lag2,0.001875264,969
IEF_x_lag3,0.0,969
IEF_x_lag4,0.0,969
IEF_x_lag5,0.018095717,969
IEF_x_lag6,0.03139589,969
IEF_x_lag7,0.019291764,969
IEF_x_lag8,0.011531627,969
IEF_x_lag9,0.006331879,969
IEF_x_lag10,0.0027729322,969
IEF_x_lag11,0.0,969
IEF_x_lag12,0.0,969
IEF_x_lag13,0.01337107,969
IEF_x_lag14,0.017461983,969
IEF_x_lag15,0.011137288,969
IEF_x_lag16,0.0036491202,969
IEF_x_lag17,0.0,969
IEF_x_lag18,0.0,969
IEF_x_lag19,0.0,969
IEF_x_lag20,0.0,969
IEF_y_lag1,0.0038346231,969
IEF_y_lag2,0.0,969
IEF_y_lag3,0.00052630727,969
IEF_y_lag4,0.0,969
IEF_y_lag5,0.0,969
IEF_y_lag6,0.00035926083,969
IEF_y_lag7,0.0,969
IEF_y_lag8,0.0020108414,969
IEF_y_lag9,0.0,969
IEF_y_lag10,0.0,969
IEF_y_lag11,0.0,969
IEF_y_lag12,0.0,969
IEF_y_lag13,0.0,969
IEF_y_lag14,0.0,969
IEF_y_lag15,0.000202417,969
IEF_y_lag16,0.0037054499,969
IEF_y_lag17,0.0,969
